врем€;Q,г¬т/м2;D,г¬т/м2
4:49:00;103,595;100,561
4:50:00;105,551;102,433
4:51:00;106,481;103,536
4:52:00;108,711;105,925
4:53:00;110,858;107,993
4:54:00;113,055;110,393
4:55:00;114,811;112,212
4:56:00;116,931;114,53
4:57:00;114,838;116,738
4:58:00;98,767;118,819
4:59:00;68,32;120,622
5:00:00;44,48;122,745
5:01:00;48,748;124,967
5:02:00;78,51;126,685
5:03:00;111,624;128,418
5:04:00;129,104;130,08
5:05:00;133,974;131,966
5:06:00;136,053;133,908
5:07:00;137,872;135,823
5:08:00;139,91;137,877
5:09:00;142,208;140,308
5:10:00;144,793;142,725
5:11:00;146,913;144,891
5:12:00;141,961;140,113
5:13:00;149,484;147,406
5:14:00;154,545;152,632
5:15:00;156,2;154,309
5:16:00;158,347;156,418
5:17:00;160,495;158,584
5:18:00;162,97;161,14
5:19:00;165,952;164,186
5:20:00;168,318;166,408
5:21:00;170,78;168,853
5:22:00;172,394;170,543
5:23:00;172,928;170,962
5:24:00;175,171;173,002
5:25:00;177,373;175,461
5:26:00;179,863;177,808
5:27:00;182,721;180,588
5:28:00;184,116;182,055
5:29:00;185,935;183,94
5:30:00;188,11;186,022
5:31:00;189,847;187,796
5:32:00;192,077;190,185
5:33:00;194,087;192,028
5:34:00;196,659;194,626
5:35:00;198,998;196,93
5:36:00;201,35;199,039
5:37:00;203,06;200,84
5:38:00;206,096;203,968
5:39:00;208,408;206,23
5:40:00;210,843;208,659
5:41:00;213,592;183,062
5:42:00;215,63;44,441
5:43:00;209,612;45,209
5:44:00;214,754;45,907
5:45:00;221,785;46,298
5:46:00;224,206;46,661
5:47:00;224,821;47,08
5:48:00;227,324;47,471
5:49:00;229,526;48,141
5:50:00;230,238;48,895
5:51:00;234,067;50,194
5:52:00;237,336;51,409
5:53:00;242,37;52,149
5:54:00;246,049;52,596
5:55:00;242,069;52,316
5:56:00;247,13;52,762
5:57:00;254,871;53,544
5:58:00;257,019;54,354
5:59:00;260,329;55,108
6:00:00;263,762;55,485
6:01:00;267,523;55,568
6:02:00;270,286;54,785
6:03:00;272,707;53,988
6:04:00;273,459;53,331
6:05:00;272,064;53,051
6:06:00;273,309;53,358
6:07:00;276,66;53,539
6:08:00;278,972;53,651
6:09:00;282,993;53,804
6:10:00;285,715;53,342
6:11:00;288,82;53,16
6:12:00;291,555;52,824
6:13:00;294,192;52,41
6:14:00;296,903;52,139
6:15:00;299,242;52,04
6:16:00;301,417;51,704
6:17:00;304,754;51,425
6:18:00;307,599;50,837
6:19:00;310,362;50,865
6:20:00;314,575;50,529
6:21:00;316,243;50,39
6:22:00;318,569;50,054
6:23:00;321,468;49,886
6:24:00;324,382;49,704
6:25:00;327,076;49,327
6:26:00;330,222;49,061
6:27:00;332,753;48,935
6:28:00;335,666;48,963
6:29:00;338,949;48,739
6:30:00;341,862;48,864
6:31:00;344,173;48,528
6:32:00;346,649;48,5
6:33:00;349,33;48,457
6:34:00;351,464;48,569
6:35:00;354,418;48,512
6:36:00;357,372;48,428
6:37:00;360,341;48,442
6:38:00;362,502;48,4
6:39:00;364,69;48,19
6:40:00;366,496;48,273
6:41:00;369,094;48,049
6:42:00;371,515;47,867
6:43:00;373,84;47,685
6:44:00;376,33;47,364
6:45:00;378,559;46,833
6:46:00;381,377;47,07
6:47:00;383,251;46,832
6:48:00;386,027;46,678
6:49:00;388,695;46,622
6:50:00;391,649;46,607
6:51:00;394,384;46,495
6:52:00;396,86;46,383
6:53:00;399,172;46,285
6:54:00;401,77;46,075
6:55:00;404,615;46,229
6:56:00;407,05;46,173
6:57:00;409,28;46,368
6:58:00;411,318;46,089
6:59:00;413,875;46,201
7:00:00;416,159;46,257
7:01:00;418,498;46,173
7:02:00;420,878;46,327
7:03:00;423,833;46,397
7:04:00;426,062;46,522
7:05:00;428,606;46,523
7:06:00;431,807;46,509
7:07:00;434,392;46,551
7:08:00;436,033;46,355
7:09:00;438,632;46,355
7:10:00;441,08;46,355
7:11:00;444,13;46,509
7:12:00;446,688;46,635
7:13:00;448,576;46,607
7:14:00;451,311;46,844
7:15:00;453,527;46,858
7:16:00;455,757;47,123
7:17:00;458,465;47,04
7:18:00;460,954;47,179
7:19:00;463,238;47,054
7:20:00;465,331;47,403
7:21:00;468,053;47,501
7:22:00;471,076;47,612
7:23:00;473,825;47,682
7:24:00;476,697;47,724
7:25:00;479,173;47,584
7:26:00;481,238;47,571
7:27:00;483,522;47,445
7:28:00;486,313;47,417
7:29:00;488,925;47,585
7:30:00;490,977;47,641
7:31:00;493,288;47,641
7:32:00;495,764;47,78
7:33:00;497,542;47,976
7:34:00;500,114;48,158
7:35:00;502,452;48,158
7:36:00;505,229;48,004
7:37:00;508,006;47,907
7:38:00;510,714;47,935
7:39:00;513,655;48,284
7:40:00;515,98;48,535
7:41:00;517,799;48,535
7:42:00;520,179;48,926
7:43:00;522,395;49,121
7:44:00;524,405;49,275
7:45:00;526,306;49,75
7:46:00;528,358;49,847
7:47:00;531,244;49,917
7:48:00;534,075;49,833
7:49:00;536,811;50,113
7:50:00;539,369;50,378
